Occultation Index	Occultation Type	UTC Start Time	UTC End Time	UTC Transition Time	Duration (s)	Tangent Centre Longitude	Tangent Centre Latitude	Tangent Centre Local Time (hrs)	
58	Ingress	2018 MAR 27 02:51:54	2018 MAR 27 03:01:43	2018 MAR 27 02:59:22	589.0	-136.3	-54.3	16.8	
59	Egress	2018 MAR 27 03:19:47	2018 MAR 27 03:29:43	2018 MAR 27 03:22:08	596.0	60.8	-26.3	6.4	
60	Ingress	2018 MAR 27 04:50:35	2018 MAR 27 05:00:18	2018 MAR 27 04:57:59	583.0	-165.4	-54.7	16.8	
61	Egress	2018 MAR 27 05:18:37	2018 MAR 27 05:28:29	2018 MAR 27 05:20:57	592.0	31.6	-25.4	6.4	
62	Ingress	2018 MAR 27 06:49:16	2018 MAR 27 06:58:53	2018 MAR 27 06:56:36	577.0	165.5	-55.0	16.8	
63	Egress	2018 MAR 27 07:17:28	2018 MAR 27 07:27:16	2018 MAR 27 07:19:47	588.0	2.4	-24.5	6.4	
64	Ingress	2018 MAR 27 08:47:54	2018 MAR 27 08:57:27	2018 MAR 27 08:55:11	573.0	136.4	-55.3	16.8	
65	Egress	2018 MAR 27 09:16:19	2018 MAR 27 09:26:02	2018 MAR 27 09:18:35	583.0	-26.8	-23.5	6.4	
66	Ingress	2018 MAR 27 10:46:30	2018 MAR 27 10:55:59	2018 MAR 27 10:53:44	569.0	107.3	-55.7	16.7	
67	Egress	2018 MAR 27 11:15:06	2018 MAR 27 11:24:45	2018 MAR 27 11:17:21	579.0	-55.9	-22.6	6.4	
68	Ingress	2018 MAR 27 12:45:06	2018 MAR 27 12:54:30	2018 MAR 27 12:52:17	564.0	78.1	-56.2	16.7	
69	Egress	2018 MAR 27 13:13:50	2018 MAR 27 13:23:26	2018 MAR 27 13:16:04	576.0	-85.0	-21.8	6.3	
