Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
151	Dayside	2021 FEB 04 21:54:21	2021 FEB 04 22:23:51	2021 FEB 04 22:53:21	3539.6	145.6	-136.0	-48.7	-74.6	2.0	74.5	7.0	11.6	1	Surface 3SUBD 02	Science: orders #191, #194, #196, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&daysideMatch:OLYMPUS MONS; 	
152	Nightside	2021 FEB 04 22:53:21	2021 FEB 04 23:22:49	2021 FEB 04 23:52:17	3535.7	-48.7	29.1	117.0	74.5	-0.6	-74.5	172.9	23.5	1	-	-	-		
152	Dayside	2021 FEB 04 23:52:17	2021 FEB 05 00:21:48	2021 FEB 05 00:51:18	3541.3	117.0	-165.0	-77.3	-74.5	2.1	74.5	7.2	11.6	1	-		COP row -1: 		
153	Nightside	2021 FEB 05 00:51:18	2021 FEB 05 01:20:47	2021 FEB 05 01:50:16	3537.5	-77.3	0.1	88.4	74.5	-0.7	-74.5	172.7	23.5	14	-	-	-		
153	Dayside	2021 FEB 05 01:50:16	2021 FEB 05 02:19:46	2021 FEB 05 02:49:16	3540.6	88.4	166.1	-106.0	-74.5	2.2	74.5	7.5	11.5	14	-		COP row -1: 		
154	Nightside	2021 FEB 05 02:49:16	2021 FEB 05 03:18:46	2021 FEB 05 03:48:15	3538.9	-106.0	-28.8	59.7	74.5	-0.8	-74.5	172.4	23.5	1	-	-	-		
154	Dayside	2021 FEB 05 03:48:15	2021 FEB 05 04:17:45	2021 FEB 05 04:47:14	3538.7	59.7	137.1	-134.6	-74.5	2.3	74.5	7.7	11.5	1	CH4 CO 2SUBD #3	Science: orders #189, #136, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&daysideMatch:INSIGHT; &daysideMatch:CURIOSITY; 	
155	Nightside	2021 FEB 05 04:47:14	2021 FEB 05 05:16:43	2021 FEB 05 05:46:13	3538.7	-134.6	-57.8	31.1	74.5	-0.9	-74.5	172.2	23.5	14	-	-	-		
155	Dayside	2021 FEB 05 05:46:13	2021 FEB 05 06:15:41	2021 FEB 05 06:45:10	3537.1	31.1	108.2	-163.2	-74.5	2.4	74.5	8.0	11.5	14	-		COP row -1: 		
156	Nightside	2021 FEB 05 06:45:10	2021 FEB 05 07:14:38	2021 FEB 05 07:44:07	3536.9	-163.2	-86.7	2.4	74.5	-1.0	-74.5	171.9	23.5	1	-	-	-		
156	Dayside	2021 FEB 05 07:44:07	2021 FEB 05 08:13:35	2021 FEB 05 08:43:03	3536.7	2.4	79.2	168.1	-74.5	2.5	74.5	8.2	11.5	1	H2O CO 2SUBD #1	Science: orders #168, #189, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&daysideMatch:PERSEVERANCE; 	
157	Nightside	2021 FEB 05 08:43:03	2021 FEB 05 09:12:31	2021 FEB 05 09:41:59	3536.0	168.1	-115.6	-26.2	74.5	-1.0	-74.5	171.7	23.5	14	-	-	-		
157	Dayside	2021 FEB 05 09:41:59	2021 FEB 05 10:11:28	2021 FEB 05 10:40:57	3537.7	-26.2	50.3	139.5	-74.5	2.6	74.5	8.4	11.5	14	-		COP row -1: 		
158	Nightside	2021 FEB 05 10:40:57	2021 FEB 05 11:10:26	2021 FEB 05 11:39:55	3538.0	139.5	-144.5	-54.8	74.5	-1.1	-74.5	171.5	23.4	1	-	-	-		
158	Dayside	2021 FEB 05 11:39:55	2021 FEB 05 12:09:25	2021 FEB 05 12:38:54	3539.3	-54.8	21.4	110.9	-74.5	2.6	74.4	8.7	11.5	1	-		COP row -1: 		
159	Nightside	2021 FEB 05 12:38:54	2021 FEB 05 13:08:24	2021 FEB 05 13:37:53	3538.8	110.9	-173.5	-83.5	74.4	-1.2	-74.4	171.2	23.4	1	-	-	-		
159	Dayside	2021 FEB 05 13:37:53	2021 FEB 05 14:07:23	2021 FEB 05 14:36:53	3540.2	-83.5	-7.6	82.2	-74.4	2.7	74.4	8.9	11.4	1	-		COP row -1: 		
160	Nightside	2021 FEB 05 14:36:53	2021 FEB 05 15:06:22	2021 FEB 05 15:35:51	3537.9	82.2	157.6	-112.1	74.4	-1.3	-74.4	170.9	23.4	3	-	-	-		
160	Dayside	2021 FEB 05 15:35:51	2021 FEB 05 16:05:22	2021 FEB 05 16:34:52	3540.6	-112.1	-36.5	53.6	-74.4	2.8	74.4	9.2	11.4	3	CH4 H2O 2SUBD 02	Science: orders #136, #168, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&daysideMatch:ACIDALIA MUD VOLCANOES BASIN; 	
161	Nightside	2021 FEB 05 16:34:52	2021 FEB 05 17:04:20	2021 FEB 05 17:33:48	3536.2	53.6	128.6	-140.7	74.4	-1.4	-74.4	170.7	23.4	14	-	-	-		
161	Dayside	2021 FEB 05 17:33:48	2021 FEB 05 18:03:18	2021 FEB 05 18:32:48	3540.0	-140.7	-65.5	24.9	-74.4	2.9	74.5	9.5	11.4	14	-		COP row -1: 		
162	Nightside	2021 FEB 05 18:32:48	2021 FEB 05 19:02:16	2021 FEB 05 19:31:43	3535.0	24.9	99.7	-169.4	74.5	-1.4	-74.5	170.4	23.4	1	-	-	-		
162	Dayside	2021 FEB 05 19:31:43	2021 FEB 05 20:01:12	2021 FEB 05 20:30:42	3538.6	-169.4	-94.4	-3.7	-74.5	3.0	74.5	9.7	11.4	1	Ice H2O 2SUBD #1	Science: orders #193, #168, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 		
163	Nightside	2021 FEB 05 20:30:42	2021 FEB 05 21:00:09	2021 FEB 05 21:29:36	3534.2	-3.7	70.8	162.0	74.5	-1.5	-74.5	170.2	23.4	14	-	-	-		
163	Dayside	2021 FEB 05 21:29:36	2021 FEB 05 21:59:05	2021 FEB 05 22:28:35	3539.3	162.0	-123.3	-32.3	-74.5	3.0	74.4	9.9	11.4	14	-		COP row -1: 	&daysideMatch:ULYSSES FOSSAE; 	
164	Nightside	2021 FEB 05 22:28:35	2021 FEB 05 22:58:03	2021 FEB 05 23:27:30	3534.9	-32.3	41.8	133.4	74.4	-1.6	-74.4	170.0	23.3	1	-	-	-		
164	Dayside	2021 FEB 05 23:27:30	2021 FEB 05 23:57:01	2021 FEB 06 00:26:31	3541.4	133.4	-152.2	-61.0	-74.4	3.1	74.4	10.2	11.4	1	-		COP row -1: 		
165	Nightside	2021 FEB 06 00:26:31	2021 FEB 06 00:56:00	2021 FEB 06 01:25:28	3536.6	-61.0	12.9	104.7	74.4	-1.7	-74.3	169.7	23.3	1	-	-	-		
165	Dayside	2021 FEB 06 01:25:28	2021 FEB 06 01:54:59	2021 FEB 06 02:24:30	3541.4	104.7	178.8	-89.6	-74.3	3.2	74.3	10.4	11.3	1	-		COP row -1: 		
166	Nightside	2021 FEB 06 02:24:30	2021 FEB 06 02:53:59	2021 FEB 06 03:23:28	3538.2	-89.6	-16.1	76.1	74.3	-1.8	-74.3	169.5	23.3	3	-	-	-		
