TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
1,1,1125,1125,581,Dayside_Nadir,2018 MAY 12 19:50:53,OBSERVATION_COMMENT
-1,-1,-1,-1,582,Dayside_Nadir,2018 MAY 12 21:49:01, 
1,1,1125,1125,583,Dayside_Nadir,2018 MAY 12 23:47:13,OBSERVATION_COMMENT
-1,-1,-1,-1,584,Dayside_Nadir,2018 MAY 13 01:45:27, 
-1,-1,-1,-1,585,Dayside_Nadir,2018 MAY 13 01:45:27, 
-1,-1,-1,-1,586,Dayside_Nadir,2018 MAY 13 01:45:27, 
1,1,1070,1070,587,Limb,2018 MAY 13 03:33:43,OBSERVATION_COMMENT
-1,-1,-1,-1,588,Dayside_Nadir,2018 MAY 13 05:41:55, 
-1,-1,-1,-1,589,Dayside_Nadir,2018 MAY 13 05:41:55, 
-1,-1,-1,-1,590,Dayside_Nadir,2018 MAY 13 05:41:55, 
1,1,1070,1070,591,Limb,2018 MAY 13 07:30:03,OBSERVATION_COMMENT
-1,-1,-1,-1,592,Dayside_Nadir,2018 MAY 13 09:38:09, 
-1,-1,-1,-1,593,Dayside_Nadir,2018 MAY 13 09:38:09, 
-1,-1,-1,-1,594,Dayside_Nadir,2018 MAY 13 09:38:09, 
1,1,1070,1070,595,Limb,2018 MAY 13 11:26:21,OBSERVATION_COMMENT
-1,-1,-1,-1,596,Dayside_Nadir,2018 MAY 13 13:34:37, 
-1,-1,-1,-1,597,Dayside_Nadir,2018 MAY 13 13:34:37, 
-1,-1,-1,-1,598,Dayside_Nadir,2018 MAY 13 13:34:37, 
1,1,1070,1070,599,Limb,2018 MAY 13 15:22:53,OBSERVATION_COMMENT
-1,-1,-1,-1,600,Dayside_Nadir,2018 MAY 13 17:31:07, 
-1,-1,-1,-1,601,Dayside_Nadir,2018 MAY 13 17:31:07, 
-1,-1,-1,-1,602,Dayside_Nadir,2018 MAY 13 17:31:07, 
1,1,1070,1070,603,Limb,2018 MAY 13 19:19:17,OBSERVATION_COMMENT
-1,-1,-1,-1,604,Dayside_Nadir,2018 MAY 13 21:27:27, 
-1,-1,-1,-1,605,Dayside_Nadir,2018 MAY 13 21:27:27, 
