Obs Type Index,Obs Type,TC Start Time,TC20 PRECOOLING,TC20 FIXED,TC20 SCI1,TC20 SCI2,
147,Dayside_Nadir,2018 APR 05 12:10:51,0,0,0,0,
148,Dayside_Nadir,2018 APR 05 14:09:23,0,0,0,0,
149,Dayside_Nadir,2018 APR 05 16:07:55,0,0,0,0,
150,Dayside_Nadir,2018 APR 05 18:06:23,0,0,0,0,
151,Dayside_Nadir,2018 APR 05 19:54:51,1,1,1107,1107,
152,Dayside_Nadir,2018 APR 05 21:53:19,1,1,2318,2318,
153,Dayside_Nadir,2018 APR 06 00:01:51,0,0,0,0,
154,Dayside_Nadir,2018 APR 06 01:50:25,1,1,144,144,
155,Dayside_Nadir,2018 APR 06 03:48:57,1,1,1090,1090,
156,Dayside_Nadir,2018 APR 06 05:57:25,0,0,0,0,
157,Dayside_Nadir,2018 APR 06 07:45:51,1,1,2639,2639,
158,Dayside_Nadir,2018 APR 06 09:44:19,1,1,140,140,
159,Dayside_Nadir,2018 APR 06 11:52:51,0,0,0,0,
160,Dayside_Nadir,2018 APR 06 13:41:25,1,1,104,104,
161,Dayside_Nadir,2018 APR 06 15:39:57,1,1,1033,1033,
162,Dayside_Nadir,2018 APR 06 17:48:25,0,0,0,0,
163,Dayside_Nadir,2018 APR 06 19:46:51,0,0,0,0,
164,Dayside_Nadir,2018 APR 06 21:45:19,0,0,0,0,
165,Dayside_Nadir,2018 APR 06 23:43:51,0,0,0,0,
166,Dayside_Nadir,2018 APR 07 01:42:23,0,0,0,0,
167,Dayside_Nadir,2018 APR 07 03:40:55,0,0,0,0,
168,Dayside_Nadir,2018 APR 07 05:29:25,1,1,1860,1860,
169,Dayside_Nadir,2018 APR 07 07:27:51,1,1,2626,2626,
170,Dayside_Nadir,2018 APR 07 09:26:17,1,1,116,116,
171,Dayside_Nadir,2018 APR 07 11:24:47,1,1,1779,1779,
172,Dayside_Nadir,2018 APR 07 13:23:21,1,1,2364,2364,
173,Dayside_Nadir,2018 APR 07 15:21:51,1,1,1029,1029,
174,Dayside_Nadir,2018 APR 07 17:20:21,1,1,1837,1837,
175,Dayside_Nadir,2018 APR 07 19:18:47,1,1,124,124,
176,Dayside_Nadir,2018 APR 07 21:17:13,1,1,1934,1934,
177,Dayside_Nadir,2018 APR 07 23:15:43,1,1,1107,1107,
178,Dayside_Nadir,2018 APR 08 01:14:13,1,1,2318,2318,
179,Dayside_Nadir,2018 APR 08 03:12:45,1,1,144,144,
180,Dayside_Nadir,2018 APR 08 05:21:15,0,0,0,0,
181,Dayside_Nadir,2018 APR 08 07:19:41,0,0,0,0,
182,Dayside_Nadir,2018 APR 08 09:18:07,0,0,0,0,
183,Dayside_Nadir,2018 APR 08 11:16:35,0,0,0,0,
184,Dayside_Nadir,2018 APR 08 13:15:07,0,0,0,0,
185,Dayside_Nadir,2018 APR 08 15:13:39,0,0,0,0,
186,Dayside_Nadir,2018 APR 08 17:12:09,0,0,0,0,
187,Dayside_Nadir,2018 APR 08 19:00:35,1,1,1090,1090,
188,Dayside_Nadir,2018 APR 08 21:09:01,0,0,0,0,
189,Dayside_Nadir,2018 APR 08 22:57:29,1,1,2639,2639,
